,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
30,Jarvis Landry ,CLE,28,WR,15,14,101,72,71.3%,840,11.7,3,46,32,8.3,4.8,56.0,2
31,Logan Thomas,WAS,29,TE,16,15,110,72,65.5%,670,9.3,6,36,30,6.1,4.5,41.9,0
32,A.J. Brown*,TEN,23,WR,14,12,106,70,66.0%,1075,15.4,11,55,73,10.1,5.0,76.8,2
33,Mike Evans,TAM,27,WR,16,16,109,70,64.2%,1006,14.4,13,55,50,9.2,4.4,62.9,0
34,Tee Higgins ,CIN,21,WR,16,14,108,67,62.0%,908,13.6,6,52,67,8.4,4.2,56.8,1
35,T.J. Hockenson *,DET,23,TE,16,16,101,67,66.3%,723,10.8,6,40,51,7.2,4.2,45.2,1
36,D.J. Moore,CAR,23,WR,15,14,118,66,55.9%,1193,18.1,4,53,74,10.1,4.4,79.5,0
37,Sterling Shepard,NYG,27,WR,12,12,90,66,73.3%,656,9.9,3,37,29,7.3,5.5,54.7,0
38,Corey Davis ,TEN,25,WR,14,12,92,65,70.7%,984,15.1,5,49,75,10.7,4.6,70.3,1
39,Chris Godwin,TAM,24,WR,12,12,84,65,77.4%,840,12.9,7,43,47,10.0,5.4,70.0,1
40,Evan Engram *,NYG,26,TE,16,14,109,63,57.8%,654,10.4,1,29,53,6.0,3.9,40.9,1
41,Nyheim Hines,IND,24,rb,16,2,76,63,82.9%,482,7.7,4,24,29,6.3,3.9,30.1,0
42,DeVante Parker,MIA,27,WR,14,11,103,63,61.2%,793,12.6,4,45,31,7.7,4.5,56.6,1
43,Dalton Schultz,DAL,24,TE,16,14,89,63,70.8%,615,9.8,4,33,28,6.9,3.9,38.4,1
44,Chase Claypool ,PIT,22,wr,16,6,109,62,56.9%,873,14.1,9,41,84,8.0,3.9,54.6,3
45,Noah Fant,DEN,23,TE,15,14,93,62,66.7%,673,10.9,3,34,37,7.2,4.1,44.9,0
46,Darnell Mooney,CHI,23,wr,16,9,98,61,62.2%,631,10.3,4,33,53,6.4,3.8,39.4,1
47,Emmanuel Sanders ,NOR,33,wr,14,5,82,61,74.4%,726,11.9,5,33,51,8.9,4.4,51.9,1
48,Brandon Aiyuk ,SFO,22,WR,12,11,96,60,62.5%,748,12.5,5,42,49,7.8,5.0,62.3,0
49,Hunter Henry ,LAC,26,TE,14,14,93,60,64.5%,613,10.2,4,35,33,6.6,4.3,43.8,0
50,Jamison Crowder,NYJ,27,wr,12,7,89,59,66.3%,699,11.8,6,32,69,7.9,4.9,58.3,0
51,Mike Davis ,CAR,27,RB,15,12,70,59,84.3%,373,6.3,2,17,23,5.3,3.9,24.9,1
52,Michael Gallup,DAL,24,WR,16,15,105,59,56.2%,843,14.3,5,44,55,8.0,3.7,52.7,0
