,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
182,Pierre Desir,2TM,30,,12,8,3,58,1,35,8,1,0,0,0,0,0.0,49,39,10,2,0,
183,Bobby McCain,MIA,27,FS,16,15,1,19,0,19,5,,,,,,0.0,46,39,7,0,2,
184,Robert Spillane,PIT,25,olb,12,7,1,33,1,33,4,0,0,1,0,0,2.0,45,39,6,4,3,
185,,,,,,,,,,,,,,,,,,,,,,,
186,Marcus Williams,NOR,24,FS,14,14,3,37,0,20,7,,,,,,0.0,59,39,20,0,0,
187,Kendall Fuller,WAS,25,CB,14,14,4,0,0,0,11,,,,,,0.0,50,38,12,1,0,
188,William Jackson III,CIN,28,CB,14,14,1,30,0,30,11,,,,,,0.0,45,38,7,1,0,
189,LeShaun Sims,CIN,27,cb,13,10,1,0,0,0,4,,,,,,0.0,52,38,14,0,0,
190,Charvarius Ward,KAN,24,CB,14,13,0,0,0,0,6,,,,,,1.0,51,38,13,1,3,
191,Denzel Ward ,CLE,23,CB,12,12,2,0,0,0,18,1,0,0,0,0,0.0,46,38,8,1,1,
192,DeForest Buckner +,IND,26,DT,15,14,0,0,0,0,3,2,0,1,0,0,9.5,58,37,21,10,26,1
193,T.J. Edwards,PHI,24,ILB,12,12,1,13,0,13,1,2,0,0,0,0,2.0,70,37,33,5,2,
194,Tre Flowers,SEA,25,cb,12,7,0,0,0,0,2,1,0,0,0,0,0.0,47,37,10,1,0,
195,Lawrence Guy,NWE,30,DT,14,14,,,,,,0,0,1,0,0,2.0,57,37,20,4,7,
196,Harvey Langi,NYJ,28,ilb,14,6,0,0,0,0,1,0,0,1,0,0,0.0,60,37,23,0,1,
197,Tarvarius Moore,SFO,24,fs,16,8,0,0,0,0,1,1,0,1,3,0,0.0,52,37,15,1,0,
198,Nickell Robey-Coleman ,PHI,28,cb,15,7,0,0,0,0,1,1,0,1,0,0,0.0,44,37,7,2,0,
199,Kendall Sheffield,ATL,24,cb,13,9,0,0,0,0,3,1,0,0,0,0,0.0,51,37,14,0,0,
200,Darious Williams,LAR,27,cb,16,10,4,21,0,19,14,,,,,,0.0,44,37,7,1,0,
201,Jonathan Allen ,WAS,25,DT,16,16,,,,,,0,0,1,0,0,2.0,63,36,27,3,14,1
202,Bryce Callahan,DEN,29,cb,10,10,2,0,0,0,5,0,0,1,0,0,0.0,42,36,6,1,0,
203,Cameron Dantzler,MIN,22,cb,11,10,2,0,0,0,4,1,0,1,0,0,0.0,46,36,10,3,0,
204,Casey Hayward,LAC,31,CB,14,13,1,9,0,9,8,,,,,,0.0,41,36,5,0,0,
205,Avonte Maddox,PHI,24,cb,10,8,0,0,0,0,3,,,,,,0.0,40,36,4,1,0,
206,Nik Needham,MIA,24,cb,16,6,2,1,0,1,7,,,,,,1.0,58,36,22,1,1,
207,Kevin Pierre-Louis,WAS,29,OLB,13,11,0,0,0,0,2,1,0,0,0,0,1.0,56,36,20,3,2,
208,Jalen Ramsey*+,LAR,26,CB,15,15,1,2,0,2,9,,,,,,0.0,44,36,8,2,1,
209,J.J. Watt,HOU,31,DE,16,16,1,19,1,19,7,2,0,1,0,0,5.0,52,36,16,14,17,
210,Rock Ya-Sin,IND,24,cb,13,8,1,0,0,0,7,1,0,0,0,0,0.0,45,36,9,0,0,
211,Julian Blackmon,IND,22,FS,15,14,2,19,0,15,6,1,0,0,0,0,0.0,42,35,7,3,0,
212,Jordyn Brooks ,SEA,23,olb,14,6,0,0,0,0,2,,,,,,0.0,57,35,22,2,0,
213,Brian Burns,CAR,22,DE,15,14,0,0,0,0,4,3,0,0,0,0,9.0,58,35,23,8,21,
214,Marcus Epps,PHI,24,ss,14,5,2,0,0,0,4,,,,,,0.0,47,35,12,0,0,
215,Brandon Graham*,PHI,32,DE,16,16,,,,,,2,0,1,0,0,8.0,46,35,11,13,16,
216,,,,,,,,,,,,,,,,,,,,,,,
217,Amani Hooker,TEN,22,fs,16,3,4,11,0,6,8,,,,,,0.0,51,35,16,1,0,
218,Sebastian Joseph,LAR,25,NT,16,16,0,0,0,0,3,1,0,0,0,0,1.0,55,35,20,1,4,
219,Matt Milano,BUF,26,olb,10,5,1,0,0,0,3,,,,,,3.5,45,35,10,4,9,
220,Xavier Rhodes,IND,30,CB,16,16,2,44,1,44,12,,,,,,0.0,42,35,7,0,0,
221,Sheldon Richardson ,CLE,30,DT,16,16,0,0,0,0,3,1,0,0,0,0,4.5,64,35,29,5,10,
222,Za'Darius Smith*,GNB,28,OLB,16,16,0,0,0,0,2,4,0,2,0,0,12.5,52,35,17,12,23,
223,Andrew Wingard,JAX,24,fs,13,4,2,31,0,19,5,0,0,1,17,0,0.0,50,35,15,3,0,
224,Chris Banjo,ARI,30,fs,13,4,0,0,0,0,1,,,,,,0.0,48,34,14,1,1,
225,Juston Burris,CAR,27,SS,13,12,1,0,0,0,4,,,,,,0.0,53,34,19,3,1,
226,Tae Crowder ,NYG,23,ilb,11,6,0,0,0,0,1,0,0,1,43,1,1.0,57,34,23,3,3,
227,J.C. Jackson,NWE,25,CB,16,11,9,80,0,30,14,0,0,3,0,0,0.0,40,34,6,1,0,
228,Jaylon Johnson ,CHI,21,CB,13,13,0,0,0,0,15,,,,,,0.0,44,34,10,1,0,
229,Cameron Jordan*,NOR,31,DE,16,16,0,0,0,0,3,1,0,0,0,0,7.5,51,34,17,11,16,
230,DeMarcus Lawrence,DAL,28,DE,16,15,0,0,0,0,2,4,0,1,0,0,6.5,58,34,24,11,10,
231,Emmanuel Moseley,SFO,24,cb,12,8,1,51,0,51,9,,,,,,0.0,47,34,13,0,0,
232,Jason Pierre-Paul*,TAM,31,DE,16,16,2,15,0,15,6,4,0,2,6,0,9.5,55,34,21,7,14,
233,Brian Poole,NYJ,28,cb,9,7,2,15,0,13,7,,,,,,1.0,44,34,10,2,2,
234,Malik Reed,DEN,24,OLB,16,13,0,0,0,0,1,1,0,0,0,0,8.0,53,34,19,8,17,
235,Darryl Roberts,DET,30,cb,11,5,1,6,0,6,6,,,,,,0.0,39,34,5,1,0,
236,John Simon,NWE,30,DE,16,16,0,0,0,0,3,,,,,,2.0,53,34,19,4,4,
237,Levi Wallace,BUF,25,CB,12,12,2,0,0,0,8,,,,,,0.0,48,34,14,1,1,
238,Chris Claybrooks ,JAX,23,cb,13,4,0,0,0,0,3,0,1,0,0,0,0.0,39,33,6,1,0,
239,Keion Crossen,HOU,24,cb,16,4,0,0,0,0,5,,,,,,0.0,46,33,13,0,0,
240,Myles Garrett *+,CLE,25,DE,14,14,0,0,0,0,2,4,0,2,0,0,12.0,48,33,15,10,18,
